details_agg,amount_claimed_sum,count
repayment of claim 60212702:7 audible uk,0.0,1
repayment of claim 60192606:19,0.0,1
repayment of 60214975:1 bitdefender virus protection software,0.0,1
repayment of 60207588:2 2co.com movavi.com 217,0.0,1
repair/upgrade service - ideal technology ltd,42.0,1
repair of shredder in constituency office.,134.24,1
remarkable as subscription,2.99,1
remarkable [***],2.99,1
vonage monthly phone,96.0,1
scribe service,24.0,1
sendible.com,795.6,1
whereby subscription,7.56,1
software package,19.02,1
software for member to keep track of annual leave for her & staff,9.6,1
software for appg mailing,88.42,1
whereby monthly,7.81,1
whereby monthly plan,7.86,1
software & application support,24.0,1
social media management app,24.16,1
serif graphic design for digital communications,83.99,1
meet your mp event ticketing,7.99,1
"shutterstock - may video editing software for social media, newsletters & website",22.8,1
"shutterstock - march video editing software for social media, newsletters & website",22.8,1
wi-fi connection on flight for access to parliamentary emails etc,4.99,1
"shutterstock - august video editing software for social media, newsletters & website",18.24,1
"shutterstock - april video editing software for social media, newsletters & website",22.8,1
members mobile phone charges for july 2024 invoice dated 20-07-2024,56.98,1
"""language line",55.18,1
media editing software subscription,12.99,1
academia - software application,68.99,1
annual norton anti-virus software,89.99,1
annual invoice for zubtitle subscription for parliamentary use,148.82,1
annual hosting and support fee for the data management system,690.0,1
annual fee - blue tree website services,360.0,1
animoto inc,61.32,1
airolo - subscription for data in usa trip (there to visit us politicians) currency conversion by starling bank,7.99,1
agm-software,42.49,1
acast podcast services,148.03,1
[***][***][***],108.0,1
annual software fee,238.42,1
[***] [***] [***] claim line 60213606-3 is a duplicate of 60208549-3,0.0,1
[***] [***] [***] claim line 60209760-2 is a duplicate of 60205753-2,0.0,1
[***] [***] [***] claim 60205494:1 is a duplicate of 60198066:1,0.0,1
[***] [***] [***] 60229116:5 is a duplicate of 60222605:1,0.0,1
[***] [***] [***] 60229116:4 is a duplicate of 60222605:2,0.0,1
[***] [***] [***] 60201955:4 is a duplicate of 60199276:2,0.0,1
994,155.88,1
992,30.97,1
annual pru fee,690.0,1
annual subscription for video editing software,216.0,1
media editing software,12.99,1
business stream,30.85,1
cartridge save,298.8,1
captions video app for producing parliamentary videos,10.49,1
"captions app invoice for march, for making parliamentary videos",10.49,1
captions app for producing parliamentary videos,10.49,1
captioning software,7.99,1
caption pro software,59.99,1
buzzsprout invoice 64,9.54,1
buzzsprout invoice 63,9.76,1
bill dated 21.6.24,125.84,1
anti-virus and security software,149.99,1
bill dated 21.5.24,125.61,1
bill dated 21.4.24,128.77,1
bill dated 21.3.24,125.54,1
bill dated 21.2.24,126.55,1
befunky.com,47.88,1
basecamp - case work software,49.16,1
audio recording app (bbc spec),29.99,1
artlogo - social media artwork/signatures for mp office,54.95,1
988,60.76,1
973,22.56,1
8x8 online phone subscription,0.4,1
1005,24.72,1
1049,24.72,1
1046,60.0,1
1044,24.72,1
1041,60.0,1
1033,24.72,1
1029,60.0,1
1018,24.72,1
1012,60.0,1
1002,60.0,1
75% sendpulse distribution software parliamentary notices april 2024,32.4,1
0115 brevo e-bulletin monthly payment may 2024,58.8,1
0099 brevo e-bulletin monthly payment april 2024,58.8,1
0064 brevo e-bulletin monthly payment march 2024,58.8,1
0040 brevo e-bulletin monthly payment february 2024,58.8,1
0026 ocean 3d 12 months tour hosting 31st march 2024,198.0,1
0011 brevo e-bulletin monthly payment january 2024,58.8,1
0010 brevo e-bulletin monthly payment december 2023,58.8,1
0009 brevo e-bulletin monthly payment november 2023,58.8,1
1054,785.88,1
1055,720.0,1
12 month antivirus software for laptop (remote working),79.99,1
12 month sub,1080.0,1
75% send pulse april 2024 - for the distribution of parliamentary notices,32.4,1
75% claim for sendpulse distribution software for parliamentary notices jan 2024,32.4,1
2co.com movavi.com 238,40.95,1
2co.com movavi.com 235,64.76,1
2co.com movavi.com 234,71.95,1
2co.com movavi.com 227,38.95,1
2co.com movavi.com 225,119.95,1
2co.com easeus.com 237,18.77,1
2co.com easeus.com 236,18.73,1
2co.com easeus.com 233,19.07,1
2co.com easeus.com 231,18.92,1
2co.com easeus.com 225,18.85,1
2024 09 15 software subscription,216.0,1
2024 03 30 software subscription,53.99,1
1password trial over,56.09,1
123 reg email account,36.15,1
12 month sub on virus protection,36.0,1
casdeworker software subscription,690.0,1
case management software,720.0,1
casewrorker initial setup fee,600.0,1
gsuite monthly fee,18.0,1
illustrator,19.97,1
ideal technology - subscription - constituency office,56.4,1
ico data protection renewal fee,40.0,1
"""notion labs",656.07,1
icloud storage for parliamentary phone/work,2.99,1
icloud storage for members parliamentary device,8.99,1
i cloud,8.99,1
hansard society ltd,360.0,1
graphic design software_march 2024,10.99,1
gmail business account (apr 2024),54.0,1
graphic design software_january 2024,10.99,1
graphic design software_april 2024,10.99,1
grants online ltd - 12 month subscription,150.0,1
gmail business account (may 2024),54.0,1
gmail business account (mar 2024),54.0,1
gmail business account (june 2024),54.0,1
gmail business account (july 2024),54.0,1
gmail business account (feb 2024),47.04,1
image license fee,140.0,1
in-flight wifi 50% claimed,5.9,1
internet & print problems - constituency office,120.0,1
invoice for captions app to produce parliamentary videos,10.49,1
marq,117.52,1
mar icloud,8.99,1
maintenance to website to convert to being a former mp,420.0,1
"maintaining, updating and managing sm pages",70.0,1
mailings to appg,87.75,1
mailing software for appg and constituency,87.61,1
mailing app for appg,87.88,1
mailbox manage & monthly subscriptions - constituency office,56.4,1
logitech usb microphone,119.99,1
livedrive backup storage,60.0,1
license fee for using a stock photo on weekly column for website,140.0,1
lensa - software application,27.49,1
lcn com,264.0,1
lawdepot,33.0,1
lastpass.com,37.44,1
keeper password app,33.58,1
issuu,388.43,1
gmail business account (aug 24),54.0,1
flexibits diary software,59.99,1
cba parallels,54.99,1
curb mobility limited,35.0,1
dropbox 9.1.24 - 9.2.24,9.99,1
dropbox - may 2024,9.99,1
dri serif.com/bill,33.99,1
domain renewal subscription may 2024-2026,19.08,1
domain name,14.39,1
docusign inc.,34.0,1
design subscription - september 2024,12.99,1
currys kendal,427.99,1
creative cloud software for mp,497.9,1
fix issues with computer in constituency office - ideal technologies ltd,42.0,1
content studiosoftware subscription,9.65,1
constituency office costs,95.88,1
coffee morning mail to constituents,73.78,1
cloudways,28.53,1
cloud data storage for 1 month,2.99,1
cloud data storage,2.99,1
charliehr software,48.0,1
cba webroot,124.99,1
dropbox 9.2.24 - 9.3.24,9.99,1
dropbox 9.3.24 - 9.4.24,9.99,1
dropbox 9.4.24 - 9.5.24,9.99,1
dropbox 9.6.24 - 9.7.24,9.99,1
feedly.com,117.71,1
feb icloud,8.99,1
facebk meta verified,9.99,1
facebk [***],10.0,1
events@harriettbaldwin.com,43.0,1
eventbrite online booking for jobs fair,34.99,1
email software business account (jan 2024),39.16,1
email services bill dated 21.8.24,122.73,1
email services bill dated 21.7.24,123.43,1
email services 21.12.23,125.98,1
email services 21.11.23,112.11,1
email services 21.1.24,125.77,1
dropbox storage,95.88,1
dropbox [***],95.88,1
dropbox 9.9.24-9.10.24,9.99,1
dropbox 9.8.24 - 9.9.24,9.99,1
dropbox 9.7.24 - 9.8.24,9.99,1
icloud storage plan for members parliamentary device - may 2024,8.99,1
